relation_id,relation_key,source_id,predicate,target_id,evidence
urn:uuid:c8574082-b249-59f9-a4cb-7fd9d334542f,relation/build-surface/unit-027-pdf/governed-by/rights/ajbook-fragment-cc-by-sa-3.0,urn:uuid:b4d19b72-447b-5914-a1e9-8aab293308f2,governed-by,urn:uuid:10faf5cd-990f-5850-87b4-26922b062485,
urn:uuid:f9f1aaad-ea72-5b8c-8058-2c3aebc9955e,relation/build-surface/unit-027-pdf/governed-by/rights/noto-fonts-ofl-1.1,urn:uuid:b4d19b72-447b-5914-a1e9-8aab293308f2,governed-by,urn:uuid:b9f7a7a7-8e18-507a-b72e-b5de733a7430,
urn:uuid:27fa9993-5a98-577d-9223-75b43b89818e,relation/build-surface/unit-027-pdf/governed-by/rights/principal-cc-by-4.0,urn:uuid:b4d19b72-447b-5914-a1e9-8aab293308f2,governed-by,urn:uuid:0baf6c47-021d-5310-9475-81519e710250,
urn:uuid:53d067a9-5de9-5fda-80de-fadd94073da9,relation/course/o013/requires/prerequisite/basic-mathematical-literacy,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:8fb6c957-7285-5258-978c-e1369c7e39d7,prelude.tex:49-60
urn:uuid:6af4c728-a07b-5571-a30d-9ee62c1a5a6e,relation/course/o013/requires/prerequisite/cauchy-sequences-and-completeness,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:b9018862-5027-50f5-9947-a9a9526cc91f,prelude.tex:49-60
urn:uuid:cdc5bef1-ed82-58de-9b13-95ec2357d9af,relation/course/o013/requires/prerequisite/elementary-number-theory,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:cae14762-1ca0-5a11-aad9-20c81d540fee,prelude.tex:49-60
urn:uuid:de5cce3e-de42-54c1-898b-fcd09a991c8d,relation/course/o013/requires/prerequisite/elementary-set-theory,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:00f7d0ea-1b60-51da-843f-cca760a368e4,prelude.tex:49-60
urn:uuid:922e2514-3fa4-5b3d-86e1-836505ce7783,relation/course/o013/requires/prerequisite/linear-transformations,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:9ef76bd8-39cf-5b09-8c2d-2d8c95f91aec,prelude.tex:49-60
urn:uuid:74ce1984-1114-53f2-a033-f2e9c028f4ee,relation/course/o013/requires/prerequisite/mathematical-logic,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:451f60c6-04ab-54a7-9d74-9dee65d088b7,prelude.tex:49-60
urn:uuid:18ee0c4f-7e83-55ce-b990-c9ff64548532,relation/course/o013/requires/prerequisite/matrices,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:d4260077-2f56-5951-8fe1-2dc390f81288,prelude.tex:49-60
urn:uuid:fe264b2f-dbe8-5589-8cb1-d75a56744c5a,relation/course/o013/requires/prerequisite/permutations-and-symmetric-groups,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:ee7d907b-05bc-5def-81d5-7fcd351829b8,prelude.tex:49-60
urn:uuid:b09b00b5-df77-5d64-94da-753d1b21fef4,relation/course/o013/requires/prerequisite/point-set-topology,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:6a61cd7e-28fe-5c64-9573-cf9ab46e5e96,prelude.tex:49-60
urn:uuid:ed32b23d-1271-5fa2-948f-562f6f29a2c2,relation/course/o013/requires/prerequisite/polynomials,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:15245348-aca2-5814-9ca8-0fce14044e14,prelude.tex:49-60
urn:uuid:59f7a53e-63b6-5f7d-a2ba-9f942e60d2cf,relation/course/o013/requires/prerequisite/real-analysis-basics,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:4eedb52d-6e0a-5379-b39c-5043b067c49f,prelude.tex:49-60
urn:uuid:f4f655a5-427a-5113-b6d6-fff3511fadfd,relation/course/o013/requires/prerequisite/vector-spaces,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:dfd6d864-afe6-5d0e-90f7-c130241cf396,prelude.tex:49-60
urn:uuid:671c70bd-307b-5cb8-a6cc-698df22eb60a,relation/course/o013/uses-resource/resource/wenweili/aljabr-1,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,uses-resource,urn:uuid:a72e8c67-4b46-5049-b626-479af39b5397,
urn:uuid:3c63c3d3-8baa-5255-958d-6ab65254139b,relation/diagram/unit-027/tikzcd-01/governed-by/rights/principal-cc-by-4.0,urn:uuid:d94adade-ec53-5b5a-b34c-97046a3eff2f,governed-by,urn:uuid:0baf6c47-021d-5310-9475-81519e710250,
urn:uuid:46bd42f1-e81c-511a-815a-481522f4d9d8,relation/diagram/unit-027/tikzcd-02/governed-by/rights/principal-cc-by-4.0,urn:uuid:72ea2145-badc-56b5-97a1-47aadb4f492c,governed-by,urn:uuid:0baf6c47-021d-5310-9475-81519e710250,
urn:uuid:49ab6ec8-9a0b-580a-b710-5b878a3efb32,relation/diagram/unit-027/tikzcd-03/governed-by/rights/principal-cc-by-4.0,urn:uuid:6b5bd936-dd5b-5ca6-baa5-e551e8e762cf,governed-by,urn:uuid:0baf6c47-021d-5310-9475-81519e710250,
urn:uuid:a909c963-59c9-5ab8-babf-f4b6b3da5004,relation/diagram/unit-027/tikzcd-04/governed-by/rights/principal-cc-by-4.0,urn:uuid:14428091-8be8-5363-b132-f13387cdd23f,governed-by,urn:uuid:0baf6c47-021d-5310-9475-81519e710250,
urn:uuid:46678fc9-40fe-5119-9d46-13aa54a56e00,relation/diagram/unit-027/tikzpicture-01/governed-by/rights/principal-cc-by-4.0,urn:uuid:436c4484-8bb8-5c60-b73d-18142525475b,governed-by,urn:uuid:0baf6c47-021d-5310-9475-81519e710250,
urn:uuid:8d7feb5e-d585-556b-9101-a1ef3c5e9d1e,relation/diagram/unit-027/tikzpicture-02/governed-by/rights/principal-cc-by-4.0,urn:uuid:5ddeacd6-dda6-536c-943f-0dcda01d0a5e,governed-by,urn:uuid:0baf6c47-021d-5310-9475-81519e710250,
urn:uuid:b152f2b8-6f88-5587-844d-8faac2d06efe,relation/diagram/unit-027/tikzpicture-03/governed-by/rights/principal-cc-by-4.0,urn:uuid:185eb161-20ca-538c-a06e-cccb92d9c088,governed-by,urn:uuid:0baf6c47-021d-5310-9475-81519e710250,
urn:uuid:a3f4038c-1e28-566c-bcb9-28c30793cf4b,relation/edition/wenweili/aljabr-1/c4f7a01f68f5f407906b4b970640cddbbad85f6b/contains/unit/bab-4-produk-langsung-semilangsung-dan-ekstensi-grup,urn:uuid:df2d23de-7370-5da5-ad49-42fb7c718c49,contains,urn:uuid:2b69f346-9971-564b-a6c8-73846c9881ec,chapter4.tex:365-517; substantive record map 365-516
urn:uuid:f43da1b4-0053-5379-9911-864a80e9df27,relation/program/open-mathematics-curriculum/2026/contains/course/o013,urn:uuid:9d8d0610-2560-5376-8679-5a9418407a78,contains,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,
urn:uuid:03dde2e7-13e9-5147-9aac-4160466fd402,relation/resource/wenweili/aljabr-1/has-edition/edition/wenweili/aljabr-1/c4f7a01f68f5f407906b4b970640cddbbad85f6b,urn:uuid:a72e8c67-4b46-5049-b626-479af39b5397,has-edition,urn:uuid:df2d23de-7370-5da5-ad49-42fb7c718c49,
