owner_id,binding_role,language,path,line_start,line_end,bytes,sha256,span_sha256,span_hash_algorithm
urn:uuid:08f2c65c-eca6-50b3-bf07-390ff511420e,source,zh-Hans,authority/source/AlJabr-1-c4f7a01f68f5f407906b4b970640cddbbad85f6b/chapter7.tex,336,339,111676,18c0f3c91db7f3e4d73fb0b79e4bc719f70475e83af3123f4b0dd0fd4e2ccee6,b1249a6893f1e780d024a958402277b547703104693ad8372bb2f9c46b59e600,sha256-utf8-lines-lf-v1
urn:uuid:08f2c65c-eca6-50b3-bf07-390ff511420e,target,id-ID,repo/source/chapter7.tex,336,339,132871,6647f499bbe7ea82711bb550004e8bcaa264f1e5ba9c742128acb7b764d039b3,b1249a6893f1e780d024a958402277b547703104693ad8372bb2f9c46b59e600,sha256-utf8-lines-lf-v1
urn:uuid:0aab7c74-cc33-596b-a58b-0f8447ca0572,source,zh-Hans,authority/source/AlJabr-1-c4f7a01f68f5f407906b4b970640cddbbad85f6b/chapter7.tex,508,508,111676,18c0f3c91db7f3e4d73fb0b79e4bc719f70475e83af3123f4b0dd0fd4e2ccee6,21b0e31a16c189f0d2245f6afcb2a322a5c978020c8f000f3948cc853f4f1eff,sha256-utf8-lines-lf-v1
urn:uuid:0aab7c74-cc33-596b-a58b-0f8447ca0572,target,id-ID,repo/source/chapter7.tex,508,508,132871,6647f499bbe7ea82711bb550004e8bcaa264f1e5ba9c742128acb7b764d039b3,754a0372ee0386b12110afec2810881958b5d68b672ebb1ae70a5cc99fe7307b,sha256-utf8-lines-lf-v1
urn:uuid:0baf6c47-021d-5310-9475-81519e710250,rights-component,,authority/source/AlJabr-1-c4f7a01f68f5f407906b4b970640cddbbad85f6b/chapter7.tex,,,111676,18c0f3c91db7f3e4d73fb0b79e4bc719f70475e83af3123f4b0dd0fd4e2ccee6,,
urn:uuid:0baf6c47-021d-5310-9475-81519e710250,rights-component,,build/chapter7-batch-candidate/chapter7-complete-id.tex,,,132871,6647f499bbe7ea82711bb550004e8bcaa264f1e5ba9c742128acb7b764d039b3,,
urn:uuid:0baf6c47-021d-5310-9475-81519e710250,rights-component,,repo/source/LICENSE,,,19045,48a83a6e39f7b2f166763b30776132c9a99aa816f17cb06f87ad5b8542a7b71f,,
urn:uuid:0baf6c47-021d-5310-9475-81519e710250,rights-component,,repo/source/chapter7.tex,,,132871,6647f499bbe7ea82711bb550004e8bcaa264f1e5ba9c742128acb7b764d039b3,,
urn:uuid:0f240e64-ad95-5a1e-a02f-0b71cb02a1bd,source,zh-Hans,authority/source/AlJabr-1-c4f7a01f68f5f407906b4b970640cddbbad85f6b/chapter7.tex,126,126,111676,18c0f3c91db7f3e4d73fb0b79e4bc719f70475e83af3123f4b0dd0fd4e2ccee6,34d1f41bcf28d4a04a1d60687e2a28bb9305e061bcf200be4fa9aaaad2ca34ec,sha256-utf8-lines-lf-v1
urn:uuid:0f240e64-ad95-5a1e-a02f-0b71cb02a1bd,target,id-ID,repo/source/chapter7.tex,126,126,132871,6647f499bbe7ea82711bb550004e8bcaa264f1e5ba9c742128acb7b764d039b3,b0ba80ad051566a4ac554155ca9057632926ca7cda7e28b33f2c64e185b9a8a5,sha256-utf8-lines-lf-v1
urn:uuid:10faf5cd-990f-5850-87b4-26922b062485,rights-component,,repo/source/AJbook.cls,,,13780,f35dbe8942a880dfe70c072bcfe0491d8cc83f562c28a481b949ca4cc84f0b04,,
urn:uuid:116595fe-63d3-5050-949f-eeb0c05bf094,source,zh-Hans,authority/source/AlJabr-1-c4f7a01f68f5f407906b4b970640cddbbad85f6b/chapter7.tex,583,593,111676,18c0f3c91db7f3e4d73fb0b79e4bc719f70475e83af3123f4b0dd0fd4e2ccee6,b88d66349008014c4b16d00f5cfb7b645b97208b4127aed753a4bcea7c0bcd2b,sha256-utf8-lines-lf-v1
urn:uuid:116595fe-63d3-5050-949f-eeb0c05bf094,target,id-ID,repo/source/chapter7.tex,583,593,132871,6647f499bbe7ea82711bb550004e8bcaa264f1e5ba9c742128acb7b764d039b3,b88d66349008014c4b16d00f5cfb7b645b97208b4127aed753a4bcea7c0bcd2b,sha256-utf8-lines-lf-v1
urn:uuid:148b3208-c7b6-597e-84f5-078af3705a16,qa-witness,,repo/source/coverpage-id-full.tex,,,3433,ae6b7629b71e3eb06b1134d7439723436367f9f63921d99159a163ce182169d8,,
urn:uuid:16003365-a4c7-5daf-a9f6-b4dddf221a20,source,zh-Hans,authority/source/AlJabr-1-c4f7a01f68f5f407906b4b970640cddbbad85f6b/chapter7.tex,378,382,111676,18c0f3c91db7f3e4d73fb0b79e4bc719f70475e83af3123f4b0dd0fd4e2ccee6,797fa7190dc835d666c5f6f756c528cd364bdf8356c335311f8916acc6c48bfe,sha256-utf8-lines-lf-v1
urn:uuid:16003365-a4c7-5daf-a9f6-b4dddf221a20,target,id-ID,repo/source/chapter7.tex,378,382,132871,6647f499bbe7ea82711bb550004e8bcaa264f1e5ba9c742128acb7b764d039b3,797fa7190dc835d666c5f6f756c528cd364bdf8356c335311f8916acc6c48bfe,sha256-utf8-lines-lf-v1
urn:uuid:193ab26d-c646-5e5c-87c0-08af1fa36f7f,source,zh-Hans,authority/source/AlJabr-1-c4f7a01f68f5f407906b4b970640cddbbad85f6b/chapter7.tex,617,617,111676,18c0f3c91db7f3e4d73fb0b79e4bc719f70475e83af3123f4b0dd0fd4e2ccee6,ea37e7134058db2d6ad74411eee514bdf23303597458054f35f3fddb4a3e6ba3,sha256-utf8-lines-lf-v1
urn:uuid:193ab26d-c646-5e5c-87c0-08af1fa36f7f,target,id-ID,repo/source/chapter7.tex,617,617,132871,6647f499bbe7ea82711bb550004e8bcaa264f1e5ba9c742128acb7b764d039b3,38ad2e2ba51fbf0d44c2b32e5cc7cff33da1fe1c75e0a534e4766fab92b7dfe0,sha256-utf8-lines-lf-v1
urn:uuid:1a05928d-b8b7-5d0d-91fb-5a60d18cb1d1,source,zh-Hans,authority/source/AlJabr-1-c4f7a01f68f5f407906b4b970640cddbbad85f6b/chapter7.tex,633,633,111676,18c0f3c91db7f3e4d73fb0b79e4bc719f70475e83af3123f4b0dd0fd4e2ccee6,245ed6583d439320f4d9313ccac985bbd0971b5aa907a031f22ff4293e0e66d2,sha256-utf8-lines-lf-v1
urn:uuid:1a05928d-b8b7-5d0d-91fb-5a60d18cb1d1,target,id-ID,repo/source/chapter7.tex,633,633,132871,6647f499bbe7ea82711bb550004e8bcaa264f1e5ba9c742128acb7b764d039b3,e6faef9d3df9fd5ea93413b8717ab21ddac6719deb2592fb8e692b2d71b923a2,sha256-utf8-lines-lf-v1
urn:uuid:1c0156c4-661a-50e4-a2c4-359be0de23bf,source,zh-Hans,authority/source/AlJabr-1-c4f7a01f68f5f407906b4b970640cddbbad85f6b/chapter7.tex,215,215,111676,18c0f3c91db7f3e4d73fb0b79e4bc719f70475e83af3123f4b0dd0fd4e2ccee6,e904ef3bdbb477be656596d275f50c7ebcde7c099690c7d957836dd5745796da,sha256-utf8-lines-lf-v1
urn:uuid:1c0156c4-661a-50e4-a2c4-359be0de23bf,target,id-ID,repo/source/chapter7.tex,215,215,132871,6647f499bbe7ea82711bb550004e8bcaa264f1e5ba9c742128acb7b764d039b3,374345730819fb6100dfea43cc39865c038ba79b11f97bedc44f6b575d903b14,sha256-utf8-lines-lf-v1
urn:uuid:1fa90b0e-ba64-57d9-a27e-01faed1858cf,source,zh-Hans,authority/source/AlJabr-1-c4f7a01f68f5f407906b4b970640cddbbad85f6b/chapter7.tex,699,699,111676,18c0f3c91db7f3e4d73fb0b79e4bc719f70475e83af3123f4b0dd0fd4e2ccee6,1940eb897273c25c5ed27269b6c0c1b24fcead7c4a1789ce42cc48fdcdc56c4c,sha256-utf8-lines-lf-v1
urn:uuid:1fa90b0e-ba64-57d9-a27e-01faed1858cf,target,id-ID,repo/source/chapter7.tex,699,699,132871,6647f499bbe7ea82711bb550004e8bcaa264f1e5ba9c742128acb7b764d039b3,60f3a2313d134e1222e9c3e4978a738a4c16da31d218ba28d1b197013bdfa243,sha256-utf8-lines-lf-v1
urn:uuid:27ff280b-dc46-5896-a266-411ebdf92d06,source,zh-Hans,authority/source/AlJabr-1-c4f7a01f68f5f407906b4b970640cddbbad85f6b/chapter7.tex,452,613,111676,18c0f3c91db7f3e4d73fb0b79e4bc719f70475e83af3123f4b0dd0fd4e2ccee6,e8aae8517381b50b78cd3e3f0828969e79e3fd2cd9188c85845863ec30dff83b,sha256-utf8-lines-lf-v1
urn:uuid:27ff280b-dc46-5896-a266-411ebdf92d06,target,id-ID,repo/source/chapter7.tex,452,613,132871,6647f499bbe7ea82711bb550004e8bcaa264f1e5ba9c742128acb7b764d039b3,a95a4256f58c9e32095913cbb6fa6589c0457ec09ed261f9ab93ce4d315cbbee,sha256-utf8-lines-lf-v1
urn:uuid:287ab2fd-368e-546c-ba6d-1b2a26775375,source,zh-Hans,authority/source/AlJabr-1-c4f7a01f68f5f407906b4b970640cddbbad85f6b/chapter7.tex,35,35,111676,18c0f3c91db7f3e4d73fb0b79e4bc719f70475e83af3123f4b0dd0fd4e2ccee6,d5ea51cd47beff37036b8840cc14a24814a460596df1e153171751d7802b1510,sha256-utf8-lines-lf-v1
urn:uuid:287ab2fd-368e-546c-ba6d-1b2a26775375,target,id-ID,repo/source/chapter7.tex,35,35,132871,6647f499bbe7ea82711bb550004e8bcaa264f1e5ba9c742128acb7b764d039b3,b2b3394bd21626c1e2f83b5e0fb13b77e599bad7b2f64206596a43bebd8be760,sha256-utf8-lines-lf-v1
urn:uuid:2e40c739-1419-52d1-8fbd-8a366b94e270,source,zh-Hans,authority/source/AlJabr-1-c4f7a01f68f5f407906b4b970640cddbbad85f6b/chapter7.tex,490,490,111676,18c0f3c91db7f3e4d73fb0b79e4bc719f70475e83af3123f4b0dd0fd4e2ccee6,708e47aab1908748477aac9d23d198c88c7bafa53f1a8595f5d40fd184a53815,sha256-utf8-lines-lf-v1
urn:uuid:2e40c739-1419-52d1-8fbd-8a366b94e270,target,id-ID,repo/source/chapter7.tex,490,490,132871,6647f499bbe7ea82711bb550004e8bcaa264f1e5ba9c742128acb7b764d039b3,0d526b5d88aba0e0ec43bd5ad4b6c20b7dd39aca79b0dda7eca6eee0d253f900,sha256-utf8-lines-lf-v1
