entity_type,id,stable_key,section_id,ordinal,source_value,target_value,format,status
diagram,urn:uuid:dd1b61c2-064f-5ed1-8797-5a2f44d3ffb5,diagram/unit-044/tikzpicture-07,urn:uuid:b78205fa-e2e8-5b5c-b4f3-bbe6b495faba,44,1978-1984,1978-1984,tikzpicture,audited_preserved
index_entry,urn:uuid:4a7836ed-5535-5d02-a9a9-6a6e2ad2445c,index-entry/unit-044/main/001,urn:uuid:cb0b9b57-f616-5b9d-ac48-c2271d1a482a,1,mo@模 (module),modul@modul (module),latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:96cdd9c7-240c-5489-90d4-7d0eec86fdde,index-entry/unit-044/main/002,urn:uuid:cb0b9b57-f616-5b9d-ac48-c2271d1a482a,2,zimo@子模 (submodule),submodul@submodul (submodule),latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:c35ddf1d-3bf4-585e-b24a-c3f7b8109193,index-entry/unit-044/main/003,urn:uuid:cb0b9b57-f616-5b9d-ac48-c2271d1a482a,3,mo!单 (simple),modul!sederhana (simple),latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:91cda6be-ad6c-5d30-9867-5e3bae29e413,index-entry/unit-044/main/004,urn:uuid:cb0b9b57-f616-5b9d-ac48-c2271d1a482a,4,tongtai,homomorfisme,latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:f908b2b7-f289-5573-af2f-011f61007f12,index-entry/unit-044/main/005,urn:uuid:cb0b9b57-f616-5b9d-ac48-c2271d1a482a,5,tonggou,isomorfisme,latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:4b93d24d-9b37-5aa2-b034-addb78defe6a,index-entry/unit-044/main/006,urn:uuid:cb0b9b57-f616-5b9d-ac48-c2271d1a482a,6,he,kernel,latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:185170fe-260a-50a6-8cf7-f690c555edb0,index-entry/unit-044/main/007,urn:uuid:cb0b9b57-f616-5b9d-ac48-c2271d1a482a,7,shang,hasil bagi,latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:b0d5dd90-84c2-58c0-852d-9fc85117eb60,index-entry/unit-044/main/009,urn:uuid:5f647d9d-de3b-51ff-aad7-2d18fbc4f755,9,mo!无挠 (torsion-free),modul!bebas torsi (torsion-free),latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:ff585c78-c9ab-550a-b0a4-4a4d76c8f456,index-entry/unit-044/main/012,urn:uuid:5f647d9d-de3b-51ff-aad7-2d18fbc4f755,12,zhihe@直和 (direct sum),jumlah langsung@jumlah langsung (direct sum),latex-index-key,source_key_preserved_target_key_localized
