relation_id,relation_key,source_id,predicate,target_id,evidence
urn:uuid:49fc74ba-109f-57f3-83f3-cd4af6a30c4d,relation/build-surface/unit-024-pdf/governed-by/rights/ajbook-fragment-cc-by-sa-3.0,urn:uuid:0bd10403-be08-5bcd-aec8-f2f7b44e1d04,governed-by,urn:uuid:10faf5cd-990f-5850-87b4-26922b062485,
urn:uuid:fc742c02-d1cb-5f5e-bfb1-b2fe7ca40278,relation/build-surface/unit-024-pdf/governed-by/rights/noto-fonts-ofl-1.1,urn:uuid:0bd10403-be08-5bcd-aec8-f2f7b44e1d04,governed-by,urn:uuid:b9f7a7a7-8e18-507a-b72e-b5de733a7430,
urn:uuid:2151ac9a-aafb-5135-8324-9f772f3f1e02,relation/build-surface/unit-024-pdf/governed-by/rights/principal-cc-by-4.0,urn:uuid:0bd10403-be08-5bcd-aec8-f2f7b44e1d04,governed-by,urn:uuid:0baf6c47-021d-5310-9475-81519e710250,
urn:uuid:53d067a9-5de9-5fda-80de-fadd94073da9,relation/course/o013/requires/prerequisite/basic-mathematical-literacy,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:8fb6c957-7285-5258-978c-e1369c7e39d7,prelude.tex:49-60
urn:uuid:6af4c728-a07b-5571-a30d-9ee62c1a5a6e,relation/course/o013/requires/prerequisite/cauchy-sequences-and-completeness,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:b9018862-5027-50f5-9947-a9a9526cc91f,prelude.tex:49-60
urn:uuid:cdc5bef1-ed82-58de-9b13-95ec2357d9af,relation/course/o013/requires/prerequisite/elementary-number-theory,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:cae14762-1ca0-5a11-aad9-20c81d540fee,prelude.tex:49-60
urn:uuid:de5cce3e-de42-54c1-898b-fcd09a991c8d,relation/course/o013/requires/prerequisite/elementary-set-theory,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:00f7d0ea-1b60-51da-843f-cca760a368e4,prelude.tex:49-60
urn:uuid:922e2514-3fa4-5b3d-86e1-836505ce7783,relation/course/o013/requires/prerequisite/linear-transformations,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:9ef76bd8-39cf-5b09-8c2d-2d8c95f91aec,prelude.tex:49-60
urn:uuid:74ce1984-1114-53f2-a033-f2e9c028f4ee,relation/course/o013/requires/prerequisite/mathematical-logic,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:451f60c6-04ab-54a7-9d74-9dee65d088b7,prelude.tex:49-60
urn:uuid:18ee0c4f-7e83-55ce-b990-c9ff64548532,relation/course/o013/requires/prerequisite/matrices,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:d4260077-2f56-5951-8fe1-2dc390f81288,prelude.tex:49-60
urn:uuid:fe264b2f-dbe8-5589-8cb1-d75a56744c5a,relation/course/o013/requires/prerequisite/permutations-and-symmetric-groups,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:ee7d907b-05bc-5def-81d5-7fcd351829b8,prelude.tex:49-60
urn:uuid:b09b00b5-df77-5d64-94da-753d1b21fef4,relation/course/o013/requires/prerequisite/point-set-topology,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:6a61cd7e-28fe-5c64-9573-cf9ab46e5e96,prelude.tex:49-60
urn:uuid:ed32b23d-1271-5fa2-948f-562f6f29a2c2,relation/course/o013/requires/prerequisite/polynomials,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:15245348-aca2-5814-9ca8-0fce14044e14,prelude.tex:49-60
urn:uuid:59f7a53e-63b6-5f7d-a2ba-9f942e60d2cf,relation/course/o013/requires/prerequisite/real-analysis-basics,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:4eedb52d-6e0a-5379-b39c-5043b067c49f,prelude.tex:49-60
urn:uuid:f4f655a5-427a-5113-b6d6-fff3511fadfd,relation/course/o013/requires/prerequisite/vector-spaces,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:dfd6d864-afe6-5d0e-90f7-c130241cf396,prelude.tex:49-60
urn:uuid:671c70bd-307b-5cb8-a6cc-698df22eb60a,relation/course/o013/uses-resource/resource/wenweili/aljabr-1,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,uses-resource,urn:uuid:a72e8c67-4b46-5049-b626-479af39b5397,
urn:uuid:5f5c0761-6060-5ff6-8390-60f0379ebd8c,relation/diagram/unit-024/tikzcd-01/governed-by/rights/principal-cc-by-4.0,urn:uuid:a71d19b6-bb10-512b-b139-788d88e73fb3,governed-by,urn:uuid:0baf6c47-021d-5310-9475-81519e710250,
urn:uuid:e9306636-cf4c-591e-86bc-75f366c87428,relation/diagram/unit-024/tikzcd-02/governed-by/rights/principal-cc-by-4.0,urn:uuid:9d0ee6ee-c8e9-54ad-a6e2-a11209a3d2b6,governed-by,urn:uuid:0baf6c47-021d-5310-9475-81519e710250,
urn:uuid:03718864-8cdb-5b5e-81d4-bd59f344d57c,relation/edition/wenweili/aljabr-1/c4f7a01f68f5f407906b4b970640cddbbad85f6b/contains/unit/bab-3-latihan,urn:uuid:df2d23de-7370-5da5-ad49-42fb7c718c49,contains,urn:uuid:095c931c-7fec-5049-bdf4-914d242c45cf,chapter3.tex:873-911
urn:uuid:f43da1b4-0053-5379-9911-864a80e9df27,relation/program/open-mathematics-curriculum/2026/contains/course/o013,urn:uuid:9d8d0610-2560-5376-8679-5a9418407a78,contains,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,
urn:uuid:03dde2e7-13e9-5147-9aac-4160466fd402,relation/resource/wenweili/aljabr-1/has-edition/edition/wenweili/aljabr-1/c4f7a01f68f5f407906b4b970640cddbbad85f6b,urn:uuid:a72e8c67-4b46-5049-b626-479af39b5397,has-edition,urn:uuid:df2d23de-7370-5da5-ad49-42fb7c718c49,
urn:uuid:22984520-ec73-5bf4-b20a-b9f86f0d60cd,relation/unit/bab-3-latihan/built-by/build-surface/unit-024-pdf,urn:uuid:095c931c-7fec-5049-bdf4-914d242c45cf,built-by,urn:uuid:0bd10403-be08-5bcd-aec8-f2f7b44e1d04,
urn:uuid:5bcc6fc2-5231-54ae-a031-07c822e096f1,relation/unit/bab-3-latihan/checked-by/qa/unit-024/admission-gate,urn:uuid:095c931c-7fec-5049-bdf4-914d242c45cf,checked-by,urn:uuid:5f5c0834-15f9-522e-9148-bd1947d35924,
urn:uuid:bb72ba71-4b03-5d3f-a651-1f667acd2ef0,relation/unit/bab-3-latihan/checked-by/qa/unit-024/all-page-visual-review,urn:uuid:095c931c-7fec-5049-bdf4-914d242c45cf,checked-by,urn:uuid:daf3d104-f82f-550c-998c-400c7b6a8ce1,
urn:uuid:cdfc0d4f-ae73-57f3-aa0e-2b0198941142,relation/unit/bab-3-latihan/checked-by/qa/unit-024/math-structure-review,urn:uuid:095c931c-7fec-5049-bdf4-914d242c45cf,checked-by,urn:uuid:e49a6bee-9198-505a-a8d7-6031cd40ae56,
urn:uuid:43cc8842-cc6f-5fdc-a08e-3429f47d04c7,relation/unit/bab-3-latihan/checked-by/qa/unit-024/render-replay,urn:uuid:095c931c-7fec-5049-bdf4-914d242c45cf,checked-by,urn:uuid:e8d821a4-389c-5d80-897a-f27830b5f50f,
urn:uuid:e2b6dde4-d8ff-5800-94e8-81118a28e023,relation/unit/bab-3-latihan/checked-by/qa/unit-024/source-correction,urn:uuid:095c931c-7fec-5049-bdf4-914d242c45cf,checked-by,urn:uuid:0d89e2f4-7241-5f9e-a9d7-24627919f3d6,
urn:uuid:ff3d97e5-101e-5f78-811e-5eea6997caba,relation/unit/bab-3-latihan/checked-by/qa/unit-024/source-review,urn:uuid:095c931c-7fec-5049-bdf4-914d242c45cf,checked-by,urn:uuid:d79786b9-daff-5eff-9322-3ca361b4510a,
urn:uuid:a1762574-2282-50ba-8a4a-d30d857f2c28,relation/unit/bab-3-latihan/checked-by/qa/unit-024/structure-check,urn:uuid:095c931c-7fec-5049-bdf4-914d242c45cf,checked-by,urn:uuid:d934417a-be4f-5f2b-b181-82365df69162,
urn:uuid:b754d0c6-736a-598e-9e92-a17c97aa32de,relation/unit/bab-3-latihan/checked-by/qa/unit-024/terminology-control,urn:uuid:095c931c-7fec-5049-bdf4-914d242c45cf,checked-by,urn:uuid:8a449cee-0960-5495-85b8-89647a4dfa17,
urn:uuid:ebdb9e14-df0a-5de3-b2d3-66b7dc28f8ab,relation/unit/bab-3-latihan/checked-by/qa/unit-024/terminology-evidence,urn:uuid:095c931c-7fec-5049-bdf4-914d242c45cf,checked-by,urn:uuid:44d0323c-5963-5dee-bd0c-b880712ed9ca,
urn:uuid:d324f979-d1ea-54fd-bf26-ea38873b8220,relation/unit/bab-3-latihan/contains/unit/bab-3-latihan/exercise/01,urn:uuid:095c931c-7fec-5049-bdf4-914d242c45cf,contains,urn:uuid:1a1f85ce-ff71-56db-83b4-fdf4f0cdbeb3,chapter3.tex:874-874
urn:uuid:ccaaabe0-191b-5304-b99c-110d49849f7d,relation/unit/bab-3-latihan/contains/unit/bab-3-latihan/exercise/02,urn:uuid:095c931c-7fec-5049-bdf4-914d242c45cf,contains,urn:uuid:32bf22a7-2367-508b-b3f8-47ae352c98e3,chapter3.tex:875-875
