link_id,root_id,order_in_root,kind,command,source_record,target_record,source_value,target_value,keys,owner_entity_id,resolved_ids,resolution
ref.modules.0005,root.modules,22,ref,ref,1180,1180,lem:ssModule,lem:ssModule,lem:ssModule,section.modules.0011,label.modules.0006,component-label
ref.modules.0006,root.modules,23,ref,ref,1182,1182,lem:ssModule,lem:ssModule,lem:ssModule,section.modules.0011,label.modules.0006,component-label
ref.modules.0007,root.modules,24,ref,ref,1200,1200,lem:subquot,lem:subquot,lem:subquot,section.modules.0011,label.modules.0007,component-label
label.modules.0008,root.modules,25,label,label,1223,1223,cor:semisimple_def,cor:semisimple_def,cor:semisimple_def,theorem.modules.0020,label.modules.0008,component-label
label.modules.0009,root.modules,26,label,label,1241,1241,lem:fancyMatrix,lem:fancyMatrix,lem:fancyMatrix,theorem.modules.0021,label.modules.0009,component-label
ref.modules.0008,root.modules,27,ref,ref,1268,1268,lem:fancyMatrix,lem:fancyMatrix,lem:fancyMatrix,section.modules.0011,label.modules.0009,component-label
ref.modules.0009,root.modules,28,ref,ref,1316,1316,thm:Wedderburn,thm:Wedderburn,thm:Wedderburn,section.modules.0011,label.modules.0004,component-label
ref.modules.0010,root.modules,29,ref,ref,1319,1319,cor:semisimple_def,cor:semisimple_def,cor:semisimple_def,section.modules.0011,label.modules.0008,component-label
citation.modules.0011,root.modules,30,citation,cite,1363,1363,GS,GS,GS,section.modules.0012,bibliography.gs,shared-bibliography
citation.modules.0012,root.modules,31,citation,cite,1363,1363,Saltman,Saltman,Saltman,section.modules.0012,bibliography.saltman,shared-bibliography
label.modules.0010,root.modules,32,label,label,1381,1381,prop:division_ac,prop:division_ac,prop:division_ac,theorem.modules.0026,label.modules.0010,component-label
label.modules.0011,root.modules,33,label,label,1433,1433,lem:center_of_tensor,lem:center_of_tensor,lem:center_of_tensor,theorem.modules.0028,label.modules.0011,component-label
label.modules.0012,root.modules,34,label,label,1455,1455,lem:csa_simple_simple,lem:csa_simple_simple,lem:csa_simple_simple,theorem.modules.0029,label.modules.0012,component-label
ref.modules.0011,root.modules,35,ref,ref,1486,1486,lem:csa_simple_simple,lem:csa_simple_simple,lem:csa_simple_simple,section.modules.0012,label.modules.0012,component-label
citation.modules.0013,root.modules,36,citation,cite,1559,1559,GS,GS,GS,section.modules.0012,bibliography.gs,shared-bibliography
ref.modules.0012,root.modules,37,ref,ref,1562,1562,lem:csa_simple_simple,lem:csa_simple_simple,lem:csa_simple_simple,section.modules.0012,label.modules.0012,component-label
ref.modules.0013,root.modules,38,ref,ref,1564,1564,lem:center_of_tensor,lem:center_of_tensor,lem:center_of_tensor,section.modules.0012,label.modules.0011,component-label
ref.modules.0014,root.modules,39,ref,ref,1576,1576,prop:division_ac,prop:division_ac,prop:division_ac,section.modules.0012,label.modules.0010,component-label
ref.characters.0001,root.characters,1,ref,pageref,38,38,LastPage,LastPage,LastPage,,package.lastpage.label.LastPage,tex-package
citation.characters.0001,root.characters,2,citation,cite,59,59,AlperinBell,AlperinBell,AlperinBell,,bibliography.alperinbell,shared-bibliography
citation.characters.0002,root.characters,3,citation,cite,60,60,DF,DF,DF,,bibliography.df,shared-bibliography
citation.characters.0003,root.characters,4,citation,cite,61,61,Etingof,Etingof,Etingof,,bibliography.etingof,shared-bibliography
citation.characters.0004,root.characters,5,citation,cite,62,62,FultonHarris,FultonHarris,FultonHarris,,bibliography.fultonharris,shared-bibliography
citation.characters.0005,root.characters,6,citation,cite,63,63,Lang,Lang,Lang,,bibliography.lang,shared-bibliography
citation.characters.0006,root.characters,7,citation,cite,64,64,Serre,Serre,Serre,,bibliography.serre,shared-bibliography
label.characters.0001,root.characters,8,label,label,334,334,eg:regular_rep,eg:regular_rep,eg:regular_rep,example.characters.0002,label.characters.0001,component-label
label.characters.0002,root.characters,9,label,label,414,414,lem:class_function_endo,lem:class_function_endo,lem:class_function_endo,theorem.characters.0003,label.characters.0002,component-label
label.characters.0003,root.characters,10,label,label,432,432,lem:proj_onto_invariants,lem:proj_onto_invariants,lem:proj_onto_invariants,theorem.characters.0004,label.characters.0003,component-label
label.characters.0004,root.characters,11,label,label,457,457,def:innerProduct,def:innerProduct,def:innerProduct,definition.characters.0004,label.characters.0004,component-label
ref.characters.0002,root.characters,12,ref,ref,527,527,lem:class_function_endo,lem:class_function_endo,lem:class_function_endo,section.characters.0004,label.characters.0002,component-label
ref.characters.0003,root.characters,13,ref,ref,606,606,eg:regular_rep,eg:regular_rep,eg:regular_rep,section.characters.0004,label.characters.0001,component-label
ref.characters.0004,root.characters,14,ref,ref,675,675,lem:class_function_endo,lem:class_function_endo,lem:class_function_endo,section.characters.0006,label.characters.0002,component-label
ref.characters.0005,root.characters,15,ref,ref,694,694,lem:proj_onto_invariants,lem:proj_onto_invariants,lem:proj_onto_invariants,section.characters.0006,label.characters.0003,component-label
citation.characters.0007,root.characters,16,citation,cite,699,699,Serre,Serre,Serre,section.characters.0006,bibliography.serre,shared-bibliography
ref.induction.0001,root.induction,1,ref,pageref,38,38,LastPage,LastPage,LastPage,,package.lastpage.label.LastPage,tex-package
citation.induction.0001,root.induction,2,citation,cite,51,51,AlperinBell,AlperinBell,AlperinBell,,bibliography.alperinbell,shared-bibliography
citation.induction.0002,root.induction,3,citation,cite,52,52,Etingof,Etingof,Etingof,,bibliography.etingof,shared-bibliography
citation.induction.0003,root.induction,4,citation,cite,53,53,FultonHarris,FultonHarris,FultonHarris,,bibliography.fultonharris,shared-bibliography
citation.induction.0004,root.induction,5,citation,cite,54,54,Lang,Lang,Lang,,bibliography.lang,shared-bibliography
citation.induction.0005,root.induction,6,citation,cite,55,55,Serre,Serre,Serre,,bibliography.serre,shared-bibliography
citation.induction.0006,root.induction,7,citation,cite,57,57,Serre,Serre,Serre,,bibliography.serre,shared-bibliography
label.induction.0001,root.induction,8,label,label,251,251,prop:ind_construction,prop:ind_construction,prop:ind_construction,theorem.induction.0003,label.induction.0001,component-label
ref.induction.0002,root.induction,9,ref,ref,297,297,prop:ind_construction,prop:ind_construction,prop:ind_construction,section.induction.0004,label.induction.0001,component-label
ref.induction.0003,root.induction,10,ref,ref,341,341,prop:ind_construction,prop:ind_construction,prop:ind_construction,section.induction.0005,label.induction.0001,component-label
ref.induction.0004,root.induction,11,ref,ref,405,405,prop:ind_construction,prop:ind_construction,prop:ind_construction,section.induction.0006,label.induction.0001,component-label
ref.induction.0005,root.induction,12,ref,ref,550,550,prop:ind_construction,prop:ind_construction,prop:ind_construction,section.induction.0008,label.induction.0001,component-label
ref.induction.0006,root.induction,13,ref,ref,572,572,prop:ind_construction,prop:ind_construction,prop:ind_construction,section.induction.0008,label.induction.0001,component-label
ref.induction.0007,root.induction,14,ref,ref,670,670,prop:ind_construction,prop:ind_construction,prop:ind_construction,section.induction.0010,label.induction.0001,component-label
ref.induction.0008,root.induction,15,ref,ref,703,703,prop:ind_construction,prop:ind_construction,prop:ind_construction,section.induction.0011,label.induction.0001,component-label
label.induction.0002,root.induction,16,label,label,850,850,lem:normal_restriction,lem:normal_restriction,lem:normal_restriction,theorem.induction.0013,label.induction.0002,component-label
label.induction.0003,root.induction,17,label,label,903,903,lem:ss_abel,lem:ss_abel,lem:ss_abel,theorem.induction.0014,label.induction.0003,component-label
label.induction.0004,root.induction,18,label,label,918,918,thm:ss_monomial,thm:ss_monomial,thm:ss_monomial,theorem.induction.0015,label.induction.0004,component-label
ref.induction.0009,root.induction,19,ref,ref,929,929,lem:ss_abel,lem:ss_abel,lem:ss_abel,section.induction.0013,label.induction.0003,component-label
ref.induction.0010,root.induction,20,ref,ref,937,937,lem:normal_restriction,lem:normal_restriction,lem:normal_restriction,section.induction.0013,label.induction.0002,component-label
citation.induction.0007,root.induction,21,citation,cite,1132,1132,Serre,Serre,Serre,section.induction.0015,bibliography.serre,shared-bibliography
ref.induction.0011,root.induction,22,ref,ref,1143,1143,thm:ss_monomial,thm:ss_monomial,thm:ss_monomial,section.induction.0015,label.induction.0004,component-label
ref.symmetric.0001,root.symmetric,1,ref,pageref,39,39,LastPage,LastPage,LastPage,,package.lastpage.label.LastPage,tex-package
citation.symmetric.0001,root.symmetric,2,citation,cite,69,69,FultonHarris,FultonHarris,FultonHarris,,bibliography.fultonharris,shared-bibliography
citation.symmetric.0002,root.symmetric,3,citation,cite,70,70,Etingof,Etingof,Etingof,,bibliography.etingof,shared-bibliography
citation.symmetric.0003,root.symmetric,4,citation,cite,71,71,Macdonald,Macdonald,Macdonald,,bibliography.macdonald,shared-bibliography
citation.symmetric.0004,root.symmetric,5,citation,cite,72,72,Stanley2,Stanley2,Stanley2,,bibliography.stanley2,shared-bibliography
citation.symmetric.0005,root.symmetric,6,citation,cite,562,565,Stanley2,Stanley2,Stanley2,section.symmetric.0005,bibliography.stanley2,shared-bibliography
citation.symmetric.0006,root.symmetric,7,citation,cite,614,616,Macdonald,Macdonald,Macdonald,section.symmetric.0005,bibliography.macdonald,shared-bibliography
label.symmetric.0001,root.symmetric,8,label,label,657,659,prop:fund_rel,prop:fund_rel,prop:fund_rel,theorem.symmetric.0008,label.symmetric.0001,component-label
label.symmetric.0002,root.symmetric,9,label,label,718,720,prop:01matrix,prop:01matrix,prop:01matrix,theorem.symmetric.0010,label.symmetric.0002,component-label
ref.symmetric.0002,root.symmetric,10,ref,ref,769,771,prop:01matrix,prop:01matrix,prop:01matrix,exercise.symmetric.0005,label.symmetric.0002,component-label
citation.symmetric.0007,root.symmetric,11,citation,cite,947,950,Stanley2,Stanley2,Stanley2,section.symmetric.0007,bibliography.stanley2,shared-bibliography
citation.symmetric.0008,root.symmetric,12,citation,cite,948,951,Stanley2,Stanley2,Stanley2,section.symmetric.0007,bibliography.stanley2,shared-bibliography
citation.symmetric.0009,root.symmetric,13,citation,cite,972,974,Macdonald,Macdonald,Macdonald,section.symmetric.0007,bibliography.macdonald,shared-bibliography
label.symmetric.0003,root.symmetric,14,label,label,989,991,thm:hook_length,thm:hook_length,thm:hook_length,theorem.symmetric.0013,label.symmetric.0003,component-label
label.symmetric.0004,root.symmetric,15,label,label,1016,1018,ex:transSP,ex:transSP,ex:transSP,example.symmetric.0012,label.symmetric.0004,component-label
citation.symmetric.0010,root.symmetric,16,citation,cite,1064,1067,Macdonald,Macdonald,Macdonald,section.symmetric.0007,bibliography.macdonald,shared-bibliography
citation.symmetric.0011,root.symmetric,17,citation,cite,1064,1067,Stanley2,Stanley2,Stanley2,section.symmetric.0007,bibliography.stanley2,shared-bibliography
ref.symmetric.0003,root.symmetric,18,ref,ref,1082,1083,prop:fund_rel,prop:fund_rel,prop:fund_rel,section.symmetric.0007,label.symmetric.0001,component-label
citation.symmetric.0012,root.symmetric,19,citation,cite,1174,1174,Macdonald,Macdonald,Macdonald,section.symmetric.0008,bibliography.macdonald,shared-bibliography
citation.symmetric.0013,root.symmetric,20,citation,cite,1174,1174,Stanley2,Stanley2,Stanley2,section.symmetric.0008,bibliography.stanley2,shared-bibliography
ref.symmetric.0004,root.symmetric,21,ref,ref,1190,1190,ex:transSP,ex:transSP,ex:transSP,section.symmetric.0008,label.symmetric.0004,component-label
ref.symmetric.0005,root.symmetric,22,ref,ref,1211,1211,thm:hook_length,thm:hook_length,thm:hook_length,section.symmetric.0008,label.symmetric.0003,component-label
citation.symmetric.0014,root.symmetric,23,citation,cite,1251,1251,FultonHarris,FultonHarris,FultonHarris,section.symmetric.0009,bibliography.fultonharris,shared-bibliography
citation.symmetric.0015,root.symmetric,24,citation,cite,1251,1251,Etingof,Etingof,Etingof,section.symmetric.0009,bibliography.etingof,shared-bibliography
citation.symmetric.0016,root.symmetric,25,citation,cite,1358,1358,FultonHarris,FultonHarris,FultonHarris,section.symmetric.0010,bibliography.fultonharris,shared-bibliography
citation.symmetric.0017,root.symmetric,26,citation,cite,1358,1358,Etingof,Etingof,Etingof,section.symmetric.0010,bibliography.etingof,shared-bibliography
citation.symmetric.0018,root.symmetric,27,citation,cite,1360,1360,Stanley2,Stanley2,Stanley2,section.symmetric.0010,bibliography.stanley2,shared-bibliography
citation.symmetric.0019,root.symmetric,28,citation,cite,1360,1360,Macdonald,Macdonald,Macdonald,section.symmetric.0010,bibliography.macdonald,shared-bibliography
ref.nonclosed.0001,root.nonclosed,1,ref,pageref,38,38,LastPage,LastPage,LastPage,,package.lastpage.label.LastPage,tex-package
citation.nonclosed.0001,root.nonclosed,2,citation,cite,56,56,Serre,Serre,Serre,,bibliography.serre,shared-bibliography
label.nonclosed.0001,root.nonclosed,3,label,label,284,284,thm:define_over_cyclotomic,thm:define_over_cyclotomic,thm:define_over_cyclotomic,theorem.nonclosed.0004,label.nonclosed.0001,component-label
ref.nonclosed.0002,root.nonclosed,4,ref,ref,387,388,thm:define_over_cyclotomic,thm:define_over_cyclotomic,thm:define_over_cyclotomic,section.nonclosed.0004,label.nonclosed.0001,component-label
label.nonclosed.0002,root.nonclosed,5,label,label,514,514,prop:Ginner,prop:Ginner,prop:Ginner,theorem.nonclosed.0013,label.nonclosed.0002,component-label
label.nonclosed.0003,root.nonclosed,6,label,label,556,556,thm:FrobSchur,thm:FrobSchur,thm:FrobSchur,theorem.nonclosed.0015,label.nonclosed.0003,component-label
ref.nonclosed.0003,root.nonclosed,7,ref,ref,566,566,prop:Ginner,prop:Ginner,prop:Ginner,section.nonclosed.0006,label.nonclosed.0002,component-label
citation.nonclosed.0002,root.nonclosed,8,citation,cite,678,678,Serre,Serre,Serre,section.nonclosed.0006,bibliography.serre,shared-bibliography
ref.nonclosed.0004,root.nonclosed,9,ref,ref,691,691,thm:FrobSchur,thm:FrobSchur,thm:FrobSchur,section.nonclosed.0006,label.nonclosed.0003,component-label
