link_id,root_id,order_in_root,kind,command,source_record,target_record,source_value,target_value,keys,owner_entity_id,resolved_ids,resolution
ref.rep_intro.0001,root.rep_intro,1,ref,pageref,38,38,LastPage,LastPage,LastPage,,package.lastpage.label.LastPage,tex-package
citation.rep_intro.0001,root.rep_intro,2,citation,cite,52,52,Serre,Serre,Serre,section.rep_intro.0001,bibliography.serre,shared-bibliography
label.rep_intro.0001,root.rep_intro,3,label,label,165,165,ex:lin_alg_is_Z_rep_theory,ex:lin_alg_is_Z_rep_theory,ex:lin_alg_is_Z_rep_theory,example.rep_intro.0007,label.rep_intro.0001,component-label
ref.rep_intro.0002,root.rep_intro,4,ref,ref,202,202,ex:lin_alg_is_Z_rep_theory,ex:lin_alg_is_Z_rep_theory,ex:lin_alg_is_Z_rep_theory,example.rep_intro.0008,label.rep_intro.0001,component-label
label.rep_intro.0002,root.rep_intro,5,label,label,224,224,ex:S3_decomposition,ex:S3_decomposition,ex:S3_decomposition,example.rep_intro.0010,label.rep_intro.0002,component-label
ref.rep_intro.0003,root.rep_intro,6,ref,ref,288,288,ex:S3_decomposition,ex:S3_decomposition,ex:S3_decomposition,example.rep_intro.0011,label.rep_intro.0002,component-label
ref.rep_intro.0004,root.rep_intro,7,ref,ref,401,401,lem:division_over_kbar,lem:division_over_kbar,lem:division_over_kbar,section.rep_intro.0003,label.rep_intro.0003,component-label
label.rep_intro.0003,root.rep_intro,8,label,label,404,404,lem:division_over_kbar,lem:division_over_kbar,lem:division_over_kbar,theorem.rep_intro.0004,label.rep_intro.0003,component-label
label.rep_intro.0004,root.rep_intro,9,label,label,433,433,eq:isotypic_decomposition,eq:isotypic_decomposition,eq:isotypic_decomposition,formula.rep_intro.0238,label.rep_intro.0004,component-label
ref.rep_intro.0005,root.rep_intro,10,ref,eqref,441,441,eq:isotypic_decomposition,eq:isotypic_decomposition,eq:isotypic_decomposition,section.rep_intro.0003,label.rep_intro.0004,component-label
ref.lin_alg.0001,root.lin_alg,1,ref,pageref,38,38,LastPage,LastPage,LastPage,,package.lastpage.label.LastPage,tex-package
citation.lin_alg.0001,root.lin_alg,2,citation,cite,55,55,DF,DF,DF,,bibliography.df,shared-bibliography
citation.lin_alg.0002,root.lin_alg,3,citation,cite,55,55,Lang,Lang,Lang,,bibliography.lang,shared-bibliography
citation.lin_alg.0003,root.lin_alg,4,citation,cite,545,545,DF,DF,DF,section.lin_alg.0011,bibliography.df,shared-bibliography
citation.lin_alg.0004,root.lin_alg,5,citation,cite,545,545,Lang,Lang,Lang,section.lin_alg.0011,bibliography.lang,shared-bibliography
citation.lin_alg.0005,root.lin_alg,6,citation,cite,740,740,DF,DF,DF,section.lin_alg.0012,bibliography.df,shared-bibliography
citation.lin_alg.0006,root.lin_alg,7,citation,cite,740,740,Lang,Lang,Lang,section.lin_alg.0012,bibliography.lang,shared-bibliography
citation.lin_alg.0007,root.lin_alg,8,citation,cite,741,741,Eisenbud,Eisenbud,Eisenbud,section.lin_alg.0012,bibliography.eisenbud,shared-bibliography
label.lin_alg.0001,root.lin_alg,9,label,label,1050,1050,prop:sym_alt_good_char,prop:sym_alt_good_char,prop:sym_alt_good_char,theorem.lin_alg.0024,label.lin_alg.0001,component-label
ref.lin_alg.0002,root.lin_alg,10,ref,ref,1200,1200,prop:sym_alt_good_char,prop:sym_alt_good_char,prop:sym_alt_good_char,example.lin_alg.0009,label.lin_alg.0001,component-label
ref.modules.0001,root.modules,1,ref,pageref,38,38,LastPage,LastPage,LastPage,,package.lastpage.label.LastPage,tex-package
citation.modules.0001,root.modules,2,citation,cite,69,69,DF,DF,DF,,bibliography.df,shared-bibliography
citation.modules.0002,root.modules,3,citation,cite,69,69,Lang,Lang,Lang,,bibliography.lang,shared-bibliography
citation.modules.0003,root.modules,4,citation,cite,74,74,DF,DF,DF,,bibliography.df,shared-bibliography
citation.modules.0004,root.modules,5,citation,cite,74,74,Etingof,Etingof,Etingof,,bibliography.etingof,shared-bibliography
citation.modules.0005,root.modules,6,citation,cite,74,74,FultonHarris,FultonHarris,FultonHarris,,bibliography.fultonharris,shared-bibliography
citation.modules.0006,root.modules,7,citation,cite,74,74,Lang,Lang,Lang,,bibliography.lang,shared-bibliography
citation.modules.0007,root.modules,8,citation,cite,75,75,Serre,Serre,Serre,,bibliography.serre,shared-bibliography
citation.modules.0008,root.modules,9,citation,cite,78,78,AlperinBell,AlperinBell,AlperinBell,,bibliography.alperinbell,shared-bibliography
citation.modules.0009,root.modules,10,citation,cite,79,79,AlperinLRT,AlperinLRT,AlperinLRT,,bibliography.alperinlrt,shared-bibliography
citation.modules.0010,root.modules,11,citation,cite,79,79,CurtisReiner,CurtisReiner,CurtisReiner,,bibliography.curtisreiner,shared-bibliography
label.modules.0001,root.modules,12,label,label,479,479,prop:equivalence,prop:equivalence,prop:equivalence,theorem.modules.0004,label.modules.0001,component-label
ref.modules.0002,root.modules,13,ref,ref,612,612,cor:CGcenter,cor:CGcenter,cor:CGcenter,section.modules.0007,label.modules.0003,component-label
label.modules.0002,root.modules,14,label,label,650,650,cor:fourier_as_matrices,cor:fourier_as_matrices,cor:fourier_as_matrices,theorem.modules.0008,label.modules.0002,component-label
ref.modules.0003,root.modules,15,ref,ref,658,658,cor:fourier_as_matrices,cor:fourier_as_matrices,cor:fourier_as_matrices,section.modules.0008,label.modules.0002,component-label
label.modules.0003,root.modules,16,label,label,661,661,cor:CGcenter,cor:CGcenter,cor:CGcenter,theorem.modules.0009,label.modules.0003,component-label
label.modules.0004,root.modules,17,label,label,1076,1076,thm:Wedderburn,thm:Wedderburn,thm:Wedderburn,theorem.modules.0013,label.modules.0004,component-label
label.modules.0005,root.modules,18,label,label,1128,1128,eq:isoDecomp,eq:isoDecomp,eq:isoDecomp,formula.modules.0671,label.modules.0005,component-label
ref.modules.0004,root.modules,19,ref,eqref,1137,1137,eq:isoDecomp,eq:isoDecomp,eq:isoDecomp,section.modules.0011,label.modules.0005,component-label
label.modules.0006,root.modules,20,label,label,1140,1140,lem:ssModule,lem:ssModule,lem:ssModule,theorem.modules.0016,label.modules.0006,component-label
label.modules.0007,root.modules,21,label,label,1174,1174,lem:subquot,lem:subquot,lem:subquot,theorem.modules.0017,label.modules.0007,component-label
